Longitude,Latitude,count
-121.6,49.2,19
-119.6,49.5,18
-116.1,50.5,18
-121.4,49.4,17
-119.3,50.2,15
-121.9,50.7,14
-121.6,49.1,14
-115.3,50.2,14
-117.2,49.6,12
-119.6,49.9,12
-119.7,49.8,12
-124.8,49.3,12
-120.5,50.7,11
-117.7,49.3,11
-120.8,50.1,11
-119.5,49.9,11
-120.3,50.3,11
-125.1,49.6,10
-118.2,51.1,10
-123.6,48.6,10
-115.6,49.6,10
-117.0,51.3,10
-122.5,53.0,10
-119.6,49.6,9
-120.6,49.5,9
-118.4,50.9,9
-124.6,49.4,9
-123.1,50.1,9
-121.5,50.0,8
-119.4,50.5,8
-116.9,51.3,8
-116.9,50.3,8
-122.1,52.1,8
-118.1,51.0,7
-121.5,49.4,7
-117.5,51.7,7
-123.3,52.1,7
-115.7,49.9,7
-118.6,50.4,7
-115.8,49.3,7
-123.1,49.8,7
-116.3,50.4,7
-117.7,49.1,7
-120.2,50.6,7
-121.4,49.7,7
-124.7,49.4,7
-117.4,50.0,7
-120.9,56.2,6
-121.4,49.8,6
-118.2,51.0,6
-118.6,52.1,6
-122.7,53.9,6
-118.8,50.9,6
-121.6,55.7,6
-119.2,52.7,6
-119.3,52.8,6
-120.5,55.9,6
-119.6,50.8,6
-121.9,52.1,6
-121.5,50.1,6
-117.8,49.3,6
-123.0,51.9,6
-123.0,54.0,6
-120.5,49.4,6
-119.4,51.3,6
-123.9,49.5,6
-115.8,50.0,6
-127.2,54.8,6
-116.0,50.1,6
-117.7,49.2,6
-128.6,54.1,6
-117.1,49.1,6
-117.5,50.6,6
-119.6,50.9,5
-119.2,50.7,5
-122.2,50.8,5
-123.5,49.5,5
-116.3,50.5,5
-120.7,50.1,5
-118.8,50.4,5
-117.8,50.7,5
-119.8,51.6,5
-115.8,49.5,5
-120.1,51.1,5
-127.1,54.7,5
-120.6,50.6,5
-116.8,51.3,5
-122.6,53.4,5
-118.6,52.0,5
-121.4,50.8,5
-115.2,49.3,5
-118.4,49.0,5
-115.6,49.5,5
-128.6,54.5,5
-115.5,49.5,5
-126.6,50.2,4
-126.4,54.0,4
-119.7,50.5,4
-118.1,49.7,4
-117.6,49.0,4
-123.1,53.8,4
-123.0,50.1,4
-124.0,54.0,4
-118.6,49.4,4
-120.7,56.2,4
-115.8,49.7,4
