Date,Longitude,Latitude,Year,Month,Season,Elevation (m),FIRE_SIZE_HA
2017-04-03,-123.0,51.9,2017,4,Spring,1090.0,0.009
2017-04-04,-123.3,52.1,2017,4,Spring,791.0,1.94
2017-04-04,-117.0,51.3,2017,4,Spring,778.95,0.009
2017-04-05,-120.2,53.3,2017,4,Spring,716.0,0.9
2017-04-09,-123.0,51.9,2017,4,Spring,1090.0,0.266
2017-04-20,-122.6,55.4,2017,4,Spring,1400.0,0.009
2017-04-20,-120.9,49.8,2017,4,Spring,1060.0,0.009
2017-04-21,-122.6,53.4,2017,4,Spring,615.0,0.0
2017-04-22,-127.6,55.4,2017,4,Spring,335.0,7.8
2017-04-29,-121.4,56.2,2017,4,Spring,480.0,3.2
2017-04-30,-123.3,52.1,2017,4,Spring,791.0,0.0
2017-05-02,-119.6,49.9,2017,5,Spring,650.0,0.0
2017-05-03,-120.8,55.8,2017,5,Spring,760.0,0.4
2017-05-03,-119.4,49.1,2017,5,Spring,1067.0,0.0
2017-05-09,-123.6,48.6,2017,5,Spring,138.0,0.0
2017-05-14,-117.7,49.3,2017,5,Spring,449.0,0.009
2017-05-15,-130.0,57.9,2017,5,Spring,890.0,0.009
2017-05-16,-115.7,49.9,2017,5,Spring,853.0,0.009
2017-05-19,-116.1,50.5,2017,5,Spring,894.0,0.3
2017-05-19,-115.6,49.8,2017,5,Spring,929.6,0.009
2017-05-22,-119.4,51.3,2017,5,Spring,884.0,0.009
2017-05-22,-117.2,50.0,2017,5,Spring,1080.0,0.1
2017-05-22,-116.1,50.5,2017,5,Spring,894.0,0.0
2017-05-23,-119.4,50.0,2017,5,Spring,478.5,0.009
2017-05-23,-119.3,52.1,2017,5,Spring,688.9,0.0
2017-05-24,-125.5,54.2,2017,5,Spring,719.0,0.09
2017-05-25,-124.1,48.8,2017,5,Spring,190.5,0.009
2017-05-25,-124.0,49.2,2017,5,Spring,114.0,0.0
2017-05-25,-119.5,50.2,2017,5,Spring,670.0,0.009
2017-05-26,-123.5,48.6,2017,5,Spring,340.0,0.1
2017-05-27,-131.1,57.9,2017,5,Spring,290.0,0.2
2017-05-27,-128.3,54.7,2017,5,Spring,130.0,0.009
2017-05-27,-115.2,49.3,2017,5,Spring,775.0,0.009
2017-05-28,-121.6,49.1,2017,5,Spring,247.0,0.0
2017-05-28,-121.6,49.2,2017,5,Spring,1400.0,0.0
2017-05-30,-127.2,54.8,2017,5,Spring,508.4,0.009
2017-05-31,-127.2,54.8,2017,5,Spring,508.4,0.018
2017-05-31,-124.7,48.9,2017,5,Spring,14.9,0.0
2017-06-01,-121.4,56.2,2017,6,Summer,480.0,0.009
2017-06-01,-116.0,50.1,2017,6,Summer,1190.0,0.2
2017-06-02,-120.9,56.2,2017,6,Summer,704.0227381920964,0.0
