Date,Longitude,Latitude,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,ATMOSPHERIC_PRESSURE,AirTemp,AirTemperature,BAR_PRESS,CURRENT_AIR_TEMPERATURE1,CURRENT_AIR_TEMPERATURE2,DEW_POINT,DewPtC,Elevation (m),GustSpeedms,HEIGHT_OF_SNOW,HUMIDITY,MAXIMUM_AIR_TEMPERATURE,MAXIMUM_MEASURED_WIND_SPEED1,MAX_TEMP,MEASURED_WIND_DIRECTION1,MEASURED_WIND_SPEED1,MINIMUM_AIR_TEMPERATURE,MIN_TEMP,ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,ONE_DAY_SNOW,PRECIPITATION_NEW,PRECIP_DETECTOR_RATIO,PRECIP_TOTAL,Precipitation,Pressurembar,RELATIVE_HUMIDITY1,RH,Rain,Rainmm,RelativeHumidity,SNOW_ON_THE_GROUND,STANDARD_SNOW,SWE,SnowDepth,SnowWaterEquivalent,Snow_WE,SolarRadiation,SolarRadiationWm,TEMP_MEAN,TempC,WDIR_VECT,WIND_DIRECTION_STD_DEVIATION1,WSPD_SCLR,Wetness,WindDirection,WindSpeed,WindSpeedms,air_temp,air_temp_1,air_temp_2,air_temperature,air_temperature_yesterday_high,air_temperature_yesterday_low,avg_air_temp_pst1hr,avg_rel_hum_pst1hr,avg_wnd_dir_10m_pst10mts,avg_wnd_spd_10m_pst10mts,cum_pcpn_amt,dew_point,dwpt_temp,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,mean_sea_level,min_air_temp_snc_last_reset,mslp,pcp,pcpn_amt_pst1hr,pcpn_amt_pst24hrs,precipitation,rel_hum,relative_humidity,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,snow_amount,snw_dpth,snw_dpth_wtr_equiv,snwfl_amt_pst1hr,stn_pres,tasmax,tasmin,temperature,tendency_amount,total_precipitation,wind_direction,wind_gust_speed,wind_speed,FIRE_SIZE_HA
2017-04-03,-123.0,51.9,,,902.125,,,,-0.4008749999999999,,-8.666666666666666,,1090.0,,0.1159999999999999,,,,,208.443,3.821666666666667,,,,,,,,,,,58.40875,,,,,,,,,,,,,,,,36.70704166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-04-04,-123.3,52.1,,,,,,,,,,,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,52.791666666666664,,,,,,,,,,2.7541666666666664,,,149.41666666666666,,8.341666666666667,1.94
2017-04-04,-117.0,51.3,,,,,,,,,,,778.95,,,,,,11.0,,,,-6.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1.3739580416666666,,,,,,,,,,,3.1575416666666665,55.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-04-05,-120.2,53.3,,,,,,,,,,,716.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,55.208333333333336,,,,,,,,,,7.875,,,92.625,,29.954166666666666,0.9
2017-04-09,-123.0,51.9,,,894.25,,,,2.858041666666667,,-5.666666666666667,,1090.0,,0.0259583333333333,,,,,110.80420833333334,5.278791666666667,,,,,,,,,,,60.05833333333334,,,,,,,,,,,,,,,,30.08583333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266
2017-04-20,-122.6,55.4,,,,,,,,,,,1400.0,,,,,,7.7,,,,-1.6,3.0,,,,,,,,,,,,,,,1210.0,,,,,,,,,,,,,,,,2.134782608695652,,,,,,,,,,,,,,,,,,1093.2173913043478,,,,,,,,262.5652173913044,935.217391304348,,,,,,,,,,,0.009
2017-04-20,-120.9,49.8,,,893.375,,,,3.8471666666666664,,-0.3333333333333333,,1060.0,,-0.6405416666666667,,,,,205.01791666666668,10.329875,,,,,,,,,,,75.8025,,,,,,,,,,,,,,,,28.12708333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-04-21,-122.6,53.4,,,,,,,,,,,615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,63.541666666666664,,,,,,,,,,6.591666666666666,,,185.625,,3.5875,0.0
2017-04-22,-127.6,55.4,,,,,,,,,,,335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,51.458333333333336,,,,,,,,,,8.216666666666667,,,222.25,,5.108333333333333,7.8
2017-04-29,-121.4,56.2,,,,,,,,,,,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.563875,,,,,,,,,,,7.263208333333334,55.45708333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
2017-04-30,-123.3,52.1,,,,,,,,,,,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,54.666666666666664,,,,,,,,,,6.2625,,,169.04166666666666,,9.15,0.0
2017-05-02,-119.6,49.9,,,,,,,,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,51.125,,,,,,,,,,11.125,,,162.33333333333334,,4.320833333333334,0.0
2017-05-03,-120.8,55.8,,,922.7916666666666,,,,11.152833333333334,,-0.0416666666666666,,760.0,,-0.0577083333333333,,,,,203.3083333333333,9.078416666666667,,,,,,,,,,,47.111250000000005,,,,,,,,,,,,,,,,35.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
