Feature,Coefficient,Abs_Coefficient
SolarRadiation,0.5302251164572627,0.5302251164572627
TEMP_MEAN,0.43736353793506744,0.43736353793506744
snw_dpth,-0.40103604839672335,0.40103604839672335
DewPtC,-0.361737929159594,0.361737929159594
Year,0.33613863277748335,0.33613863277748335
snwfl_amt_pst1hr,-0.3172111878517297,0.3172111878517297
air_temperature_yesterday_high,-0.3149872496363002,0.3149872496363002
avg_rel_hum_pst1hr,0.2813671832226114,0.2813671832226114
air_temp,0.26736334745145574,0.26736334745145574
relative_humidity,-0.21973376735129377,0.21973376735129377
TempC,0.21958434298721718,0.21958434298721718
SnowWaterEquivalent,0.20949403916990808,0.20949403916990808
Longitude,0.1962512306479404,0.1962512306479404
CURRENT_AIR_TEMPERATURE1,-0.19175097600669955,0.19175097600669955
min_air_temp_snc_last_reset,0.1907283246031761,0.1907283246031761
Rainmm,0.17373423790813994,0.17373423790813994
cum_pcpn_amt,-0.16366687914374245,0.16366687914374245
Pressurembar,0.15767028279303427,0.15767028279303427
Wetness,-0.15519286752652275,0.15519286752652275
HUMIDITY,-0.15484321691014336,0.15484321691014336
Precipitation,-0.15295187840852564,0.15295187840852564
temperature,-0.15218012532161385,0.15218012532161385
ATMOSPHERIC_PRESSURE,-0.14400464949829644,0.14400464949829644
Elevation (m),-0.1348300871065156,0.1348300871065156
avg_wnd_dir_10m_pst10mts,0.12908554701094752,0.12908554701094752
WindSpeed,-0.12654518153227295,0.12654518153227295
pcpn_amt_pst24hrs,0.12184380293196478,0.12184380293196478
GustSpeedms,0.11722250790866447,0.11722250790866447
AirTemperature,0.1159440073350207,0.1159440073350207
max_air_temp_snc_last_reset,0.11348951857314211,0.11348951857314211
HEIGHT_OF_SNOW,-0.1124336757067362,0.1124336757067362
ONE_DAY_RAIN,0.10889539409505448,0.10889539409505448
tasmin,-0.10639791693657599,0.10639791693657599
mslp,0.10295715141197866,0.10295715141197866
WDIR_VECT,-0.10151273201596914,0.10151273201596914
avg_wnd_spd_10m_pst10mts,0.0974352079570621,0.0974352079570621
MEASURED_WIND_DIRECTION1,0.09492629512989355,0.09492629512989355
WindSpeedms,-0.09285564117639386,0.09285564117639386
total_precipitation,-0.09275392524202948,0.09275392524202948
dew_point,-0.09230696142438524,0.09230696142438524
air_temperature_yesterday_low,0.08887265249001722,0.08887265249001722
WIND_DIRECTION_STD_DEVIATION1,0.08147062690820465,0.08147062690820465
RelativeHumidity,-0.0789229610191321,0.0789229610191321
Month,-0.0756075825015721,0.0756075825015721
RH,-0.0753746061474325,0.0753746061474325
air_temp_1,0.07475757530729207,0.07475757530729207
WSPD_SCLR,-0.07125573101017738,0.07125573101017738
WindDirection,-0.06781810081439664,0.06781810081439664
SolarRadiationWm,0.0648661833391908,0.0648661833391908
avg_air_temp_pst1hr,-0.06166875799226875,0.06166875799226875
wind_gust_speed,-0.0593214562215753,0.0593214562215753
ONE_DAY_PRECIPITATION,0.05825164265777501,0.05825164265777501
DayOfYear,0.05454765141808533,0.05454765141808533
AirTemp,-0.05296466205988061,0.05296466205988061
pcpn_amt_pst1hr,-0.05192214162194503,0.05192214162194503
Rain,-0.051459546828378534,0.051459546828378534
MIN_TEMP,0.05115824995676072,0.05115824995676072
DEW_POINT,0.0506191011978395,0.0506191011978395
stn_pres,-0.049860574094900814,0.049860574094900814
wind_speed,0.04612643887600067,0.04612643887600067
SWE,0.04504544835480466,0.04504544835480466
mean_sea_level,-0.04394880543897601,0.04394880543897601
SnowDepth,-0.04384690100496108,0.04384690100496108
rel_hum,-0.03658520159172487,0.03658520159172487
PRECIP_TOTAL,0.03178623585921092,0.03178623585921092
air_temperature,0.03139586112940735,0.03139586112940735
wind_direction,0.031364513399150466,0.031364513399150466
Latitude,-0.030012095468045067,0.030012095468045067
max_wnd_spd_10m_pst1hr,0.026878231082852085,0.026878231082852085
rnfl_amt_pst24hrs,0.026309132647576738,0.026309132647576738
Snow_WE,0.023254060830770758,0.023254060830770758
MAX_TEMP,-0.022881172825681976,0.022881172825681976
RELATIVE_HUMIDITY1,-0.02117637404335029,0.02117637404335029
BAR_PRESS,0.017285138212294944,0.017285138212294944
MEASURED_WIND_SPEED1,0.011048010028912031,0.011048010028912031
dwpt_temp,-0.010870042141323167,0.010870042141323167
snw_dpth_wtr_equiv,0.008914659574302963,0.008914659574302963
SNOW_ON_THE_GROUND,0.00857391406328043,0.00857391406328043
pcp,-0.008050213624725551,0.008050213624725551
tendency_amount,-0.00783327940156965,0.00783327940156965
tasmax,-0.006831321214946547,0.006831321214946547
rnfl_amt_pst1hr,0.0054171073882355175,0.0054171073882355175
air_temp_2,-0.004686833700048774,0.004686833700048774
precipitation,-0.0009338087985546308,0.0009338087985546308
