Feature,F_Score,P_Value
rel_hum,89.4950885559973,2.817876921596291e-20
TEMP_MEAN,84.2478701818715,3.140460691155357e-19
air_temperature_yesterday_high,81.03656582568757,1.3836232868675811e-18
precipitation,73.94681279570737,3.730184355522726e-17
snwfl_amt_pst1hr,69.67778128263737,2.749578285628866e-16
air_temp,60.121778090863174,2.5026474801123094e-14
cum_pcpn_amt,58.41150503250687,5.6446435957400135e-14
WDIR_VECT,55.74424886651489,2.0144911000544194e-13
WindSpeedms,49.61059954890382,3.824726036139841e-12
mslp,40.85627478374479,2.676093634696967e-10
ONE_DAY_RAIN,35.331906244561644,4.0294698256162956e-09
pcpn_amt_pst1hr,32.968776313094054,1.2959684553908916e-08
SnowDepth,24.627563165976735,8.375522416661616e-07
RelativeHumidity,24.526797103589516,8.812381600765033e-07
ATMOSPHERIC_PRESSURE,22.168978819391217,2.90691957007763e-06
avg_rel_hum_pst1hr,22.12766553967907,2.968553017058701e-06
WindSpeed,21.928967539215623,3.283849336913388e-06
PRECIP_DETECTOR_RATIO,15.620268326726412,8.373766476126241e-05
SnowWaterEquivalent,15.495786516225262,8.933214576548278e-05
min_air_temp_snc_last_reset,13.88474273159558,0.00020699079178368578
RH,13.531631962935048,0.00024907079057978225
max_wnd_spd_10m_pst1hr,13.207981082870843,0.00029520244925405225
ONE_DAY_PRECIPITATION,11.28134457183753,0.0008171175926714889
air_temp_1,10.696893319468908,0.001115595786993154
WindDirection,9.505024905665472,0.0021141130243265117
pcpn_amt_pst24hrs,7.522620700313369,0.006218836381420944
Latitude,7.061459211750842,0.008021219085625116
mean_sea_level,6.434625925885509,0.01136643675202603
Longitude,6.046742400702181,0.014126820788734928
Rainmm,5.8801835074537125,0.015516075423471153
tasmax,5.877680513100405,0.015537995856691147
stn_pres,5.605004849324653,0.018128419278972643
Elevation (m),4.980687428626588,0.02588724664230183
max_air_temp_snc_last_reset,4.865243279941518,0.02766521755582798
STANDARD_SNOW,4.260497568056593,0.03930619836469058
GustSpeedms,4.219625662464034,0.04025900643816265
SNOW_ON_THE_GROUND,4.1219822531091905,0.042634981904229916
avg_wnd_dir_10m_pst10mts,4.002049900269864,0.04575710684909811
MEASURED_WIND_DIRECTION1,3.460896170675877,0.06317544577960692
AirTemp,3.175563843315525,0.07509812601411028
avg_wnd_spd_10m_pst10mts,3.1568704647385033,0.07595938068934832
pcp,3.10472472536527,0.07841860716849156
air_temperature,2.83557217792989,0.09255874253487954
SolarRadiation,2.815161314679302,0.09373874663633276
MIN_TEMP,2.7996550096350092,0.0946461595380714
air_temp_2,2.1386170946576755,0.14399453308803567
Rain,1.9588996352428687,0.1619895662954968
CURRENT_AIR_TEMPERATURE1,1.8889277098857216,0.1696788807047983
ACTUAL_WIND_DIRECTION,1.772983167504472,0.18336409975102497
PRECIPITATION_NEW,1.6290504281447957,0.20217701088594772
AirTemperature,1.6058668789727537,0.20541482360661406
rnfl_amt_pst24hrs,1.5554275225817817,0.21267354467355815
Pressurembar,1.5153675541002922,0.21865647303870983
dew_point,1.5053559421091494,0.2201829350647578
PRECIP_TOTAL,1.454644026670945,0.22811401809256562
TempC,1.4145377750705528,0.23463092270817815
relative_humidity,1.145929542924628,0.28470146439098404
snw_dpth,1.02937363258357,0.31058952926242156
HEIGHT_OF_SNOW,0.9169365813501636,0.33854816632479945
snw_dpth_wtr_equiv,0.8586767180329858,0.35436773439287295
air_temperature_yesterday_low,0.7562713337395898,0.3847391694643919
SolarRadiationWm,0.7404316606225769,0.3897610711601931
Precipitation,0.6908723773023897,0.40609718501581826
ACTUAL_WIND_SPEED,0.6853145664447152,0.4079909895584426
Snow_WE,0.6258355789369905,0.4291038323232187
WIND_DIRECTION_STD_DEVIATION1,0.610938810242396,0.43464843243646256
DEW_POINT,0.6018955853950836,0.43806774551420924
rnfl_amt_pst1hr,0.5096322679103246,0.4754906636267473
Wetness,0.4654525816384992,0.49526931137528907
snow_amount,0.4224833267958559,0.5158730839652228
DewPtC,0.4027514939572579,0.5258394912080359
MAXIMUM_AIR_TEMPERATURE,0.3445438828307999,0.5573712409900065
BAR_PRESS,0.2915409574861753,0.5893737107143414
RELATIVE_HUMIDITY1,0.24399685830324802,0.6214595647899998
HUMIDITY,0.16150101026140556,0.6878775891897124
CURRENT_AIR_TEMPERATURE2,0.1543103891521922,0.6945465490647181
avg_air_temp_pst1hr,0.13535415976742005,0.71303400572387
MEASURED_WIND_SPEED1,0.06465510745746023,0.7993445595287564
MAXIMUM_MEASURED_WIND_SPEED1,0.029090584190317192,0.8646099359443647
dwpt_temp,0.023273062875172883,0.8787847008384418
MINIMUM_AIR_TEMPERATURE,0.013477243571655929,0.9076069463494436
MAX_TEMP,0.0024004256920982466,0.9609352765072264
SWE,0.0006720787163040287,0.9793235529652295
WSPD_SCLR,0.00013612762908972063,0.9906936834982649
