Feature,Importance
snwfl_amt_pst1hr,0.061403199207449306
snw_dpth,0.048360474584668425
MAX_TEMP,0.04149604102459643
temperature,0.041306630134583924
avg_wnd_dir_10m_pst10mts,0.040669557109503304
air_temperature,0.03570845607756869
stn_pres,0.03186470590407612
air_temperature_yesterday_low,0.029827923705220853
rnfl_amt_pst24hrs,0.02872090743987318
SolarRadiationWm,0.028291139020572776
tasmax,0.027431019884914958
TEMP_MEAN,0.024522603660165017
DEW_POINT,0.023684678126718352
min_air_temp_snc_last_reset,0.022612849470324645
air_temperature_yesterday_high,0.020201167134554308
DewPtC,0.019419068439945047
snw_dpth_wtr_equiv,0.018815100169161113
ONE_DAY_PRECIPITATION,0.01830230455788779
relative_humidity,0.01821026741034898
air_temp,0.01743577157884206
ATMOSPHERIC_PRESSURE,0.016921511300068533
RH,0.015457648410258951
SWE,0.015283748465465022
pcpn_amt_pst1hr,0.014643994238298853
air_temp_2,0.014180784348344692
avg_wnd_spd_10m_pst10mts,0.013567246727895221
rnfl_amt_pst1hr,0.013356509825252065
Wetness,0.012405075196138138
WindSpeedms,0.01220969899976231
wind_gust_speed,0.011876314170104277
BAR_PRESS,0.011572932500341287
Year,0.01066904171163948
HEIGHT_OF_SNOW,0.010095073075540374
max_wnd_spd_10m_pst1hr,0.009998337779206078
total_precipitation,0.009622125346601083
WDIR_VECT,0.00943570987714596
CURRENT_AIR_TEMPERATURE1,0.008666643417022548
DayOfYear,0.008563063045891493
mean_sea_level,0.008318943111707496
cum_pcpn_amt,0.008183441141183623
max_air_temp_snc_last_reset,0.008128447793684705
Longitude,0.007861869803600118
Rain,0.00737323317161425
GustSpeedms,0.007212370882698137
mslp,0.00704740219451449
Month,0.006897963952732685
PRECIP_TOTAL,0.006395548473768993
TempC,0.0062922806108329865
WIND_DIRECTION_STD_DEVIATION1,0.006231772639572025
ONE_DAY_RAIN,0.0056396547749802605
Precipitation,0.005583170660933854
Latitude,0.0054668631618923404
MEASURED_WIND_DIRECTION1,0.005076917870038075
Snow_WE,0.005010350649895123
MIN_TEMP,0.004786185545684711
SNOW_ON_THE_GROUND,0.0047308554862653
pcp,0.004588110048385917
Elevation (m),0.004508215110334176
WindSpeed,0.004377147280861444
SnowDepth,0.004311028226477937
RelativeHumidity,0.004125329900503073
tasmin,0.00410936937410827
WindDirection,0.004102668719966221
rel_hum,0.004082548644872936
avg_air_temp_pst1hr,0.003949449156396344
wind_direction,0.0033613886696414186
SolarRadiation,0.0032818066376640036
tendency_amount,0.003080364456506677
AirTemp,0.00239633630784588
air_temp_1,0.002303674724870679
Rainmm,0.0022399048424076246
avg_rel_hum_pst1hr,0.0017944260287281243
dew_point,0.00173039725078914
WSPD_SCLR,0.001553384040586235
SnowWaterEquivalent,0.00154574715289484
Pressurembar,0.0015011639620998408
HUMIDITY,0.001241861398324168
AirTemperature,0.000680837669943182
RELATIVE_HUMIDITY1,0.0006395585943918913
MEASURED_WIND_SPEED1,0.00048085394010950397
precipitation,0.00035554454353639494
dwpt_temp,0.00029950335584770976
wind_speed,0.0002696876403555067
pcpn_amt_pst24hrs,4.30973200000357e-05
