Feature,Importance
SolarRadiation,0.14023484900311806
TEMP_MEAN,0.12193167115942598
tasmax,0.07145573242854168
snw_dpth,0.05124944718042916
CURRENT_AIR_TEMPERATURE1,0.03996458225393221
air_temperature,0.035978635004052566
rel_hum,0.034780002099258626
air_temperature_yesterday_low,0.0270901548089637
Rainmm,0.02623617946838595
tasmin,0.02573563289282189
GustSpeedms,0.02494892986747848
cum_pcpn_amt,0.0234154612882348
Precipitation,0.021594642433757125
ATMOSPHERIC_PRESSURE,0.019235072770629715
avg_wnd_dir_10m_pst10mts,0.019215863438802435
TempC,0.0175478509806209
RelativeHumidity,0.016261691801934947
ONE_DAY_PRECIPITATION,0.014776103638244602
wind_speed,0.013857489848971281
avg_air_temp_pst1hr,0.013435344404220293
air_temperature_yesterday_high,0.012851267649401156
precipitation,0.012033113260919914
SWE,0.011894617712540622
temperature,0.011577822552317412
WDIR_VECT,0.010741197484845809
HEIGHT_OF_SNOW,0.010090020390708576
rnfl_amt_pst1hr,0.009280828301126589
pcpn_amt_pst24hrs,0.008513960631430445
SnowDepth,0.008491137116702985
pcp,0.008116488953129494
Pressurembar,0.007579819186531067
snw_dpth_wtr_equiv,0.007328332924873414
MIN_TEMP,0.006640299889439417
WSPD_SCLR,0.006486363157070013
SNOW_ON_THE_GROUND,0.005988486066591031
WIND_DIRECTION_STD_DEVIATION1,0.0056032261993997105
dew_point,0.005318046406066102
AirTemp,0.004776595011124403
pcpn_amt_pst1hr,0.004703999094518113
avg_rel_hum_pst1hr,0.0046853151958175685
MAX_TEMP,0.004345143054994175
AirTemperature,0.004241952221228761
MEASURED_WIND_DIRECTION1,0.004158407581626258
snwfl_amt_pst1hr,0.0040071709122580495
WindSpeedms,0.003775823561511761
ONE_DAY_RAIN,0.003536422064512207
RH,0.00343070359575776
min_air_temp_snc_last_reset,0.0031342644812756503
Year,0.0029933930882105786
mslp,0.002849147010579593
dwpt_temp,0.002706663970544878
Latitude,0.0024644036900093795
SnowWaterEquivalent,0.0024607939753104185
avg_wnd_spd_10m_pst10mts,0.0022005588418594567
HUMIDITY,0.0021335872997775263
Elevation (m),0.002091881106384692
mean_sea_level,0.002031114323455714
DEW_POINT,0.0019301613374259905
max_wnd_spd_10m_pst1hr,0.0017745919324421884
wind_direction,0.0017378831647743426
Rain,0.0016801782115913545
WindSpeed,0.0014490682897838059
Snow_WE,0.0014279157950496638
DayOfYear,0.0013092525393925125
air_temp_1,0.0012318494573466553
tendency_amount,0.0012084485144082172
PRECIP_TOTAL,0.001174525261581889
MEASURED_WIND_SPEED1,0.0010954648203378903
max_air_temp_snc_last_reset,0.0010731331958652801
SolarRadiationWm,0.0010727491764935748
DewPtC,0.0010395131807235147
air_temp_2,0.0010132394437327417
Longitude,0.0008537144588686367
WindDirection,0.0008364060219412711
relative_humidity,0.0008333585839839527
wind_gust_speed,0.0007809451429817191
BAR_PRESS,0.0006115312020830827
RELATIVE_HUMIDITY1,0.0005511327729862109
total_precipitation,0.000307246116507334
Wetness,0.00026368901362225356
air_temp,0.0002449759912132987
rnfl_amt_pst24hrs,0.00017646701832149843
Month,0.00010919201343695757
stn_pres,5.662607428792235e-06
