Feature,Importance
TEMP_MEAN,0.056118164
max_air_temp_snc_last_reset,0.053926706
snw_dpth_wtr_equiv,0.045079585
wind_gust_speed,0.04300253
WindSpeed,0.042299464
GustSpeedms,0.033109494
rel_hum,0.026349932
MEASURED_WIND_DIRECTION1,0.025273101
DayOfYear,0.02453326
air_temp,0.022849914
mslp,0.021064648
DEW_POINT,0.021049485
Elevation (m),0.020715965
ATMOSPHERIC_PRESSURE,0.01925489
DewPtC,0.017733932
avg_rel_hum_pst1hr,0.016918652
HUMIDITY,0.01681918
tasmin,0.016689528
MIN_TEMP,0.015795436
WSPD_SCLR,0.015422891
PRECIP_TOTAL,0.015301107
ONE_DAY_RAIN,0.014605967
temperature,0.014550768
air_temperature_yesterday_high,0.014402019
RelativeHumidity,0.013471838
Wetness,0.012936789
Month,0.012930121
ONE_DAY_PRECIPITATION,0.012541939
air_temperature_yesterday_low,0.012220845
avg_wnd_spd_10m_pst10mts,0.012066038
pcpn_amt_pst24hrs,0.011859972
MAX_TEMP,0.011389718
snw_dpth,0.011341657
Pressurembar,0.011308421
SolarRadiationWm,0.0112857185
RH,0.010740211
AirTemperature,0.010159044
air_temperature,0.009750309
pcp,0.009720574
mean_sea_level,0.009628404
Rainmm,0.009332733
max_wnd_spd_10m_pst1hr,0.009298752
avg_wnd_dir_10m_pst10mts,0.008455536
WindDirection,0.008365569
RELATIVE_HUMIDITY1,0.008278272
air_temp_1,0.007956494
dew_point,0.007806363
Latitude,0.007514905
HEIGHT_OF_SNOW,0.0071643842
Snow_WE,0.007152526
WIND_DIRECTION_STD_DEVIATION1,0.00708678
min_air_temp_snc_last_reset,0.0066780183
WDIR_VECT,0.0063409437
CURRENT_AIR_TEMPERATURE1,0.0056077302
tendency_amount,0.005545042
relative_humidity,0.005493495
precipitation,0.0053509832
wind_direction,0.005333621
MEASURED_WIND_SPEED1,0.005040749
SnowDepth,0.004953804
pcpn_amt_pst1hr,0.004824128
cum_pcpn_amt,0.0046657943
WindSpeedms,0.0046601216
avg_air_temp_pst1hr,0.0044599157
stn_pres,0.004410982
rnfl_amt_pst24hrs,0.0040559284
tasmax,0.004024594
total_precipitation,0.004015039
Longitude,0.003994897
wind_speed,0.0038522559
TempC,0.0038226754
Rain,0.0037524975
Year,0.0031827784
SnowWaterEquivalent,0.003083077
rnfl_amt_pst1hr,0.0024384812
snwfl_amt_pst1hr,0.0023344944
dwpt_temp,0.0016739506
SWE,0.0012707114
SNOW_ON_THE_GROUND,0.0005027978
AirTemp,0.0
SolarRadiation,0.0
air_temp_2,0.0
Precipitation,0.0
BAR_PRESS,0.0
